file,left_eye,right_eye,mouth
00000.png,"(282, 193)(360, 271)","(138, 174)(238, 274)","(186, 343)(314, 407)",
00679.png,"(288, 196)(355, 263)","(159, 195)(227, 263)","(196, 360)(316, 420)",
00680.png,"(286, 194)(357, 265)","(162, 194)(232, 264)","(193, 370)(312, 429)",
00681.png,"(286, 188)(363, 265)","(133, 171)(239, 277)","(277, 356)(438, 437)",
00682.png,"(290, 199)(359, 268)","(155, 197)(227, 269)","(188, 320)(326, 389)",
00683.png,"(170, 344)(330, 424)",
00684.png,"(287, 192)(361, 266)","(150, 184)(235, 269)","(174, 324)(321, 398)",
00685.png,"(281, 188)(361, 268)","(148, 194)(224, 270)","(187, 362)(314, 425)",
00686.png,"(287, 190)(360, 263)","(149, 183)(234, 268)","(180, 337)(326, 410)",
00687.png,"(278, 189)(354, 265)","(157, 187)(235, 265)","(185, 369)(308, 430)",
00688.png,"(287, 189)(366, 268)","(150, 190)(231, 271)","(181, 333)(328, 406)",
00689.png,"(284, 186)(369, 271)","(148, 181)(237, 270)","(205, 348)(334, 412)",
00690.png,"(284, 190)(359, 265)","(167, 201)(221, 255)","(178, 347)(315, 416)",
00691.png,"(287, 193)(362, 268)","(152, 190)(227, 265)","(189, 346)(313, 408)",
00692.png,"(281, 203)(338, 260)","(164, 183)(245, 264)","(211, 358)(328, 416)",
00693.png,"(300, 208)(359, 267)","(177, 206)(232, 261)","(185, 327)(339, 404)",
00694.png,"(277, 206)(352, 281)","(154, 204)(230, 280)","(195, 334)(320, 397)",
00695.png,"(282, 191)(357, 266)","(154, 190)(229, 265)","(200, 341)(318, 400)",
00696.png,"(189, 344)(300, 399)",
00697.png,"(277, 185)(368, 276)","(146, 182)(236, 272)","(202, 339)(321, 398)",
00698.png,"(278, 183)(367, 272)","(157, 196)(231, 270)","(174, 336)(336, 417)",
00699.png,"(288, 191)(367, 270)","(155, 192)(231, 268)","(179, 326)(331, 402)",
00700.png,"(142, 192)(240, 290)","(102, 351)(233, 416)",
00701.png,"(274, 178)(372, 276)","(150, 186)(239, 275)","(176, 347)(331, 424)",
00702.png,
00703.png,"(278, 176)(375, 273)","(150, 180)(238, 268)","(172, 342)(326, 419)",
00704.png,"(281, 179)(368, 266)","(143, 170)(244, 271)","(192, 350)(338, 423)",
00705.png,"(281, 197)(360, 276)","(151, 196)(240, 285)","(205, 365)(310, 418)",
00706.png,"(290, 200)(355, 265)","(192, 211)(251, 270)","(172, 322)(341, 407)",
00707.png,"(236, 229)(286, 279)","(228, 305)(254, 331)","(179, 328)(337, 407)",
00708.png,"(287, 188)(365, 266)","(150, 188)(228, 266)","(181, 353)(328, 426)",
00709.png,"(298, 201)(368, 271)","(216, 340)(335, 399)",
00710.png,"(283, 183)(367, 267)","(153, 183)(242, 272)","(182, 342)(328, 415)",
00711.png,"(279, 191)(358, 270)","(157, 193)(225, 261)","(181, 341)(331, 416)",
00712.png,"(282, 190)(362, 270)","(151, 194)(227, 270)","(170, 325)(337, 409)",
00713.png,"(288, 193)(363, 268)","(152, 190)(229, 267)","(192, 327)(321, 391)",
00714.png,"(286, 190)(370, 274)","(152, 194)(226, 268)","(168, 323)(331, 404)",
00715.png,"(295, 208)(349, 262)","(194, 335)(313, 394)",
00716.png,"(287, 197)(360, 270)","(156, 190)(237, 271)","(188, 327)(325, 396)",
00717.png,"(279, 178)(373, 272)","(160, 197)(230, 267)","(181, 349)(322, 419)",
00718.png,"(195, 340)(329, 407)",
00719.png,"(276, 182)(369, 275)","(156, 196)(224, 264)","(187, 345)(320, 412)",
00720.png,"(297, 194)(364, 261)","(147, 186)(230, 269)","(173, 339)(340, 422)",
00721.png,"(302, 197)(350, 245)","(151, 189)(235, 273)","(159, 339)(342, 431)",
00722.png,"(287, 190)(365, 268)","(150, 186)(232, 268)","(194, 349)(324, 414)",
00723.png,"(289, 194)(362, 267)","(159, 188)(234, 263)","(167, 337)(351, 429)",
00724.png,
00725.png,
00726.png,"(286, 185)(373, 272)","(154, 195)(224, 265)","(186, 353)(321, 420)",
00727.png,"(287, 190)(367, 270)","(150, 190)(227, 267)","(184, 335)(326, 406)",
00728.png,"(264, 196)(332, 264)","(260, 359)(373, 415)",
00729.png,"(289, 195)(362, 268)","(147, 186)(231, 270)","(170, 335)(338, 419)",
00730.png,"(276, 176)(374, 274)","(194, 341)(326, 407)",
00731.png,"(296, 201)(359, 264)","(163, 203)(226, 266)","(190, 327)(320, 392)",
00732.png,"(275, 188)(356, 269)","(165, 343)(316, 418)",
00733.png,"(284, 188)(370, 274)","(152, 177)(248, 273)","(183, 348)(342, 427)",
00734.png,"(282, 188)(361, 267)","(206, 358)(304, 407)",
00735.png,"(282, 185)(369, 272)","(158, 189)(236, 267)","(173, 344)(333, 424)",
00736.png,"(293, 193)(363, 263)","(151, 193)(226, 268)","(181, 338)(334, 415)",
00737.png,"(281, 186)(358, 263)","(165, 192)(238, 265)","(196, 356)(299, 407)",
00738.png,"(271, 179)(356, 264)","(170, 203)(228, 261)","(250, 284)(356, 337)",
00739.png,"(282, 187)(366, 271)","(153, 191)(228, 266)","(181, 354)(331, 429)",
00740.png,"(183, 338)(313, 403)",
00741.png,"(294, 212)(349, 267)","(141, 202)(230, 291)","(189, 359)(312, 420)",
00742.png,"(285, 181)(374, 270)","(158, 190)(236, 268)","(189, 354)(324, 421)",
00743.png,
00744.png,"(285, 188)(368, 271)","(163, 196)(234, 267)","(169, 332)(363, 429)",
00745.png,"(288, 193)(360, 265)","(116, 352)(225, 406)",
00746.png,"(274, 182)(366, 274)","(158, 191)(222, 255)","(209, 369)(318, 424)",
00747.png,"(283, 189)(366, 272)","(153, 187)(229, 263)","(193, 360)(317, 422)",
00748.png,"(290, 195)(356, 261)","(154, 189)(232, 267)","(164, 339)(333, 424)",
00749.png,"(186, 327)(323, 395)",
00750.png,"(284, 187)(369, 272)","(156, 188)(238, 270)","(186, 347)(318, 413)",
00751.png,"(276, 180)(363, 267)","(166, 201)(230, 265)","(190, 360)(315, 423)",
00752.png,"(290, 195)(360, 265)","(152, 191)(230, 269)","(177, 335)(334, 413)",
00753.png,"(270, 177)(370, 277)","(192, 341)(314, 402)",
00754.png,"(283, 192)(363, 272)","(158, 195)(229, 266)","(170, 324)(342, 410)",
00755.png,"(285, 187)(366, 268)","(158, 199)(228, 269)","(175, 335)(315, 405)",
00756.png,"(281, 188)(362, 269)","(148, 178)(238, 268)","(186, 349)(336, 424)",
00757.png,"(284, 205)(336, 257)","(152, 177)(239, 264)","(151, 376)(307, 454)",
00758.png,"(282, 204)(334, 256)","(169, 191)(239, 261)","(149, 411)(242, 457)",
00759.png,
00760.png,"(283, 188)(361, 266)","(148, 181)(235, 268)","(191, 358)(325, 425)",
00761.png,"(276, 214)(335, 273)","(153, 202)(228, 277)","(178, 341)(329, 416)",
00762.png,"(242, 177)(356, 291)","(169, 210)(241, 282)","(203, 362)(311, 416)",
00763.png,
00764.png,"(289, 190)(367, 268)","(152, 192)(228, 268)","(170, 325)(344, 412)",
00765.png,
00766.png,"(161, 338)(324, 419)",
00767.png,"(294, 196)(366, 268)","(161, 193)(232, 264)","(182, 340)(341, 420)",
00768.png,"(285, 185)(368, 268)","(151, 186)(235, 270)","(189, 347)(314, 409)",
00769.png,"(225, 375)(296, 411)",
00770.png,"(293, 198)(363, 268)","(156, 198)(227, 269)","(172, 320)(340, 404)",
00771.png,"(273, 180)(365, 272)","(208, 366)(305, 414)",
00772.png,
00773.png,"(282, 186)(363, 267)","(155, 187)(235, 267)","(184, 349)(340, 427)",
00774.png,"(282, 190)(361, 269)","(156, 190)(233, 267)","(196, 353)(309, 410)",
00775.png,"(285, 182)(378, 275)","(165, 196)(220, 251)","(188, 343)(315, 407)",
00776.png,"(282, 184)(367, 269)","(158, 195)(227, 264)","(187, 354)(323, 422)",
00777.png,"(286, 200)(350, 264)","(147, 184)(237, 274)","(178, 330)(334, 408)",
00778.png,"(288, 194)(366, 272)","(154, 195)(228, 269)","(181, 332)(319, 401)",
00779.png,"(292, 191)(366, 265)","(159, 199)(224, 264)","(192, 356)(316, 418)",
00780.png,"(290, 194)(360, 264)","(151, 189)(229, 267)","(171, 329)(332, 409)",
00781.png,"(276, 173)(380, 277)","(148, 186)(229, 267)","(166, 338)(333, 421)",
00782.png,"(268, 164)(381, 277)","(165, 199)(227, 261)","(192, 369)(301, 424)",
00783.png,"(283, 193)(354, 264)","(149, 195)(220, 266)","(219, 371)(315, 419)",
00784.png,"(283, 188)(361, 266)","(153, 195)(227, 269)","(156, 333)(313, 412)",
00785.png,"(285, 187)(367, 269)","(155, 191)(229, 265)","(186, 335)(321, 402)",
00786.png,"(288, 196)(358, 266)","(158, 197)(228, 267)","(182, 329)(328, 402)",
00787.png,"(189, 335)(320, 400)",
00788.png,"(287, 210)(350, 273)","(139, 174)(255, 290)","(189, 358)(343, 435)",
00789.png,"(286, 198)(352, 264)","(165, 193)(239, 267)","(191, 345)(325, 412)",
00790.png,"(286, 192)(359, 265)","(159, 196)(229, 266)","(283, 355)(419, 423)",
00791.png,"(291, 199)(359, 267)","(150, 187)(232, 269)","(182, 351)(334, 427)",
00792.png,"(281, 188)(367, 274)","(146, 185)(235, 274)","(172, 326)(349, 414)",
00793.png,"(282, 187)(366, 271)","(152, 189)(235, 272)","(182, 327)(323, 398)",
00794.png,"(273, 183)(362, 272)","(146, 186)(230, 270)","(195, 345)(317, 406)",
00795.png,"(284, 195)(359, 270)","(144, 181)(236, 273)","(163, 337)(337, 424)",
00796.png,"(282, 190)(363, 271)","(154, 178)(243, 267)","(208, 355)(325, 414)",
00797.png,"(284, 183)(368, 267)","(142, 178)(235, 271)","(181, 339)(336, 417)",
00798.png,"(279, 168)(383, 272)","(193, 369)(307, 426)",
00799.png,"(284, 188)(364, 268)","(152, 187)(232, 267)","(172, 341)(343, 426)",
00800.png,"(291, 196)(359, 264)","(158, 194)(229, 265)","(184, 328)(332, 402)",
00801.png,"(295, 201)(361, 267)","(158, 201)(219, 262)","(182, 333)(327, 406)",
00802.png,"(267, 186)(347, 266)","(187, 352)(322, 419)",
00803.png,
00804.png,"(289, 192)(365, 268)","(154, 197)(226, 269)","(209, 355)(317, 409)",
00805.png,"(294, 184)(373, 263)","(142, 177)(237, 272)","(179, 350)(331, 426)",
00806.png,
00807.png,"(276, 185)(360, 269)","(150, 189)(232, 271)","(181, 354)(327, 427)",
00808.png,"(292, 199)(361, 268)","(157, 196)(231, 270)","(183, 336)(332, 411)",
00809.png,"(288, 187)(368, 267)","(154, 192)(229, 267)","(182, 350)(325, 421)",
00810.png,"(282, 186)(363, 267)","(156, 188)(236, 268)","(197, 358)(315, 417)",
00811.png,"(284, 189)(364, 269)","(155, 189)(231, 265)","(189, 352)(325, 420)",
00812.png,"(270, 185)(356, 271)","(177, 203)(226, 252)","(200, 348)(337, 416)",
00813.png,"(293, 189)(368, 264)","(182, 342)(325, 414)",
00814.png,"(279, 178)(372, 271)","(153, 195)(227, 269)","(183, 354)(316, 421)",
00815.png,"(292, 193)(365, 266)","(152, 183)(240, 271)","(193, 350)(331, 419)",
00816.png,"(284, 199)(361, 276)","(139, 182)(228, 271)","(124, 327)(253, 391)",
00817.png,"(284, 185)(366, 267)","(152, 186)(239, 273)","(166, 353)(342, 441)",
00818.png,"(298, 198)(363, 263)","(146, 192)(223, 269)","(179, 336)(330, 411)",
00819.png,"(288, 190)(367, 269)","(141, 178)(240, 277)","(179, 333)(338, 413)",
00820.png,"(193, 347)(315, 408)",
00821.png,"(276, 167)(379, 270)","(162, 196)(220, 254)","(155, 339)(329, 426)",
00822.png,"(291, 195)(362, 266)","(157, 194)(229, 266)","(185, 343)(331, 416)",
00823.png,"(286, 194)(362, 270)","(152, 194)(230, 272)","(187, 334)(320, 401)",
00824.png,"(286, 191)(360, 265)","(153, 191)(226, 264)","(171, 334)(342, 420)",
00825.png,"(297, 198)(362, 263)","(158, 198)(225, 265)","(185, 337)(321, 405)",
00826.png,"(278, 178)(372, 272)","(149, 186)(233, 270)","(176, 346)(332, 424)",
00827.png,"(278, 183)(364, 269)","(155, 190)(232, 267)","(183, 352)(313, 417)",
00828.png,"(278, 178)(368, 268)","(153, 176)(240, 263)","(196, 361)(311, 418)",
00829.png,"(282, 189)(361, 268)","(148, 187)(231, 270)","(184, 334)(329, 406)",
00830.png,"(294, 196)(356, 258)","(153, 183)(236, 266)","(193, 366)(325, 432)",
00831.png,"(172, 337)(322, 412)",
00832.png,"(184, 331)(330, 404)",
00833.png,"(286, 187)(371, 272)","(154, 195)(221, 262)","(191, 337)(317, 400)",
00834.png,"(288, 195)(363, 270)","(156, 196)(232, 272)","(178, 304)(342, 386)",
00835.png,"(287, 190)(365, 268)","(148, 190)(231, 273)","(164, 329)(336, 415)",
00836.png,"(290, 195)(356, 261)","(158, 196)(224, 262)","(192, 326)(320, 390)",
00837.png,"(163, 341)(328, 424)",
00838.png,"(286, 190)(362, 266)","(149, 186)(231, 268)","(174, 338)(324, 413)",
00839.png,"(184, 344)(324, 414)",
00840.png,"(189, 364)(325, 432)",
00841.png,"(287, 188)(368, 269)","(157, 193)(231, 267)","(182, 331)(331, 405)",
00842.png,
00843.png,"(296, 204)(358, 266)","(152, 190)(230, 268)","(183, 319)(337, 396)",
00844.png,
00845.png,"(279, 198)(349, 268)","(163, 187)(234, 258)","(220, 357)(329, 412)",
00846.png,
00847.png,
00848.png,"(290, 193)(366, 269)","(154, 189)(234, 269)","(179, 346)(327, 420)",
00849.png,"(288, 192)(367, 271)","(155, 194)(235, 274)","(181, 339)(322, 410)",
00850.png,"(289, 193)(358, 262)","(162, 195)(231, 264)","(190, 358)(305, 415)",
00851.png,"(279, 180)(367, 268)","(189, 357)(328, 427)",
00852.png,"(289, 192)(363, 266)","(151, 196)(221, 266)","(192, 357)(317, 420)",
00853.png,"(280, 183)(367, 270)","(152, 187)(235, 270)","(183, 335)(315, 401)",
00854.png,"(289, 188)(367, 266)","(157, 194)(227, 264)","(174, 343)(320, 416)",
00855.png,"(278, 208)(332, 262)","(166, 201)(243, 278)","(206, 370)(303, 418)",
00856.png,"(275, 212)(334, 271)","(166, 198)(242, 274)","(100, 315)(200, 365)",
00857.png,"(292, 186)(369, 263)","(145, 179)(242, 276)","(170, 334)(342, 420)",
00858.png,"(286, 192)(361, 267)","(150, 190)(234, 274)","(174, 344)(317, 416)",
00859.png,
00860.png,"(294, 201)(356, 263)","(214, 359)(338, 421)",
00861.png,"(280, 186)(365, 271)","(151, 190)(231, 270)","(185, 336)(326, 407)",
00862.png,"(331, 225)(377, 271)","(100, 216)(155, 271)","(187, 352)(289, 403)",
00863.png,"(277, 184)(363, 270)","(148, 192)(228, 272)","(191, 358)(334, 429)",
00864.png,"(288, 185)(370, 267)","(149, 184)(236, 271)","(205, 342)(314, 396)",
00865.png,"(289, 187)(365, 263)","(160, 197)(230, 267)","(170, 337)(316, 410)",
00866.png,"(282, 195)(359, 272)","(159, 201)(223, 265)","(167, 330)(314, 403)",
00867.png,
00868.png,"(283, 190)(362, 269)","(150, 188)(229, 267)","(185, 338)(327, 409)",
00869.png,"(281, 181)(368, 268)","(181, 358)(324, 430)",
00870.png,"(279, 179)(371, 271)","(141, 174)(241, 274)","(195, 359)(308, 416)",
00871.png,"(295, 200)(360, 265)","(158, 198)(231, 271)","(185, 330)(333, 404)",
00872.png,"(270, 186)(349, 265)","(176, 205)(228, 257)","(205, 361)(297, 407)",
00873.png,"(286, 185)(368, 267)","(149, 185)(234, 270)","(174, 338)(347, 424)",
00874.png,"(295, 195)(362, 262)","(148, 180)(239, 271)","(191, 353)(336, 426)",
00875.png,"(285, 189)(365, 269)","(162, 189)(243, 270)","(181, 355)(325, 427)",
00876.png,"(186, 214)(211, 239)","(160, 195)(216, 251)",
00877.png,"(285, 190)(361, 266)","(148, 181)(237, 270)","(182, 344)(337, 421)",
00878.png,"(288, 191)(359, 262)","(155, 197)(220, 262)","(183, 353)(339, 431)",
00879.png,"(290, 196)(362, 268)","(156, 194)(232, 270)","(204, 359)(324, 419)",
00880.png,"(288, 192)(364, 268)","(153, 193)(228, 268)","(188, 337)(323, 404)",
00881.png,"(281, 203)(353, 275)","(140, 190)(241, 291)","(179, 329)(328, 403)",
00882.png,"(280, 186)(365, 271)","(156, 195)(223, 262)","(169, 329)(329, 409)",
00883.png,
00884.png,"(278, 187)(362, 271)","(152, 192)(233, 273)","(163, 330)(335, 416)",
00885.png,"(235, 207)(287, 259)","(85, 283)(120, 318)","(217, 347)(337, 407)",
00886.png,"(268, 177)(369, 278)","(151, 197)(217, 263)","(178, 324)(334, 402)",
00887.png,"(292, 191)(363, 262)","(152, 186)(232, 266)","(172, 345)(347, 433)",
00888.png,"(306, 199)(360, 253)","(155, 194)(227, 266)","(192, 340)(317, 402)",
00889.png,"(287, 197)(363, 273)","(144, 187)(230, 273)","(197, 336)(343, 409)",
00890.png,"(291, 187)(373, 269)","(166, 200)(232, 266)","(170, 349)(344, 436)",
00891.png,"(289, 199)(352, 262)","(157, 195)(236, 274)","(179, 330)(333, 407)",
00892.png,"(292, 198)(363, 269)","(162, 196)(235, 269)","(188, 346)(331, 418)",
00893.png,"(197, 357)(345, 431)",
00894.png,"(256, 258)(315, 317)","(147, 180)(236, 269)","(171, 322)(345, 409)",
00895.png,"(289, 205)(349, 265)","(155, 194)(227, 266)","(176, 336)(338, 417)",
00896.png,"(290, 193)(364, 267)","(156, 200)(225, 269)","(186, 346)(315, 410)",
00897.png,
00898.png,"(292, 196)(360, 264)","(157, 198)(221, 262)","(179, 326)(325, 399)",
00899.png,"(291, 193)(366, 268)","(161, 196)(238, 273)","(185, 341)(335, 416)",
00900.png,"(172, 349)(333, 430)",
00901.png,"(272, 167)(378, 273)","(146, 180)(239, 273)","(186, 349)(334, 423)",
00902.png,"(398, 311)(464, 344)",
00903.png,"(297, 193)(369, 265)","(151, 188)(227, 264)","(174, 352)(290, 410)",
00904.png,"(284, 191)(363, 270)","(153, 192)(229, 268)","(178, 344)(332, 421)",
00905.png,"(300, 202)(364, 266)","(157, 198)(225, 266)","(172, 322)(340, 406)",
00906.png,"(275, 187)(348, 260)","(181, 336)(293, 392)",
00907.png,"(287, 214)(344, 271)","(193, 324)(334, 394)",
00908.png,"(279, 186)(364, 271)","(145, 183)(233, 271)","(184, 335)(332, 409)",
00909.png,"(293, 197)(360, 264)","(156, 200)(222, 266)","(176, 334)(331, 411)",
00910.png,
00911.png,"(283, 188)(362, 267)","(163, 182)(248, 267)",
00912.png,"(281, 193)(354, 266)","(181, 348)(329, 422)",
00913.png,"(277, 176)(369, 268)","(160, 194)(223, 257)","(178, 359)(314, 427)",
00914.png,"(279, 200)(355, 276)","(141, 197)(237, 293)","(160, 331)(336, 419)",
00915.png,"(277, 192)(357, 272)","(157, 197)(220, 260)","(190, 342)(333, 414)",
00916.png,"(281, 191)(367, 277)","(163, 197)(227, 261)","(187, 348)(320, 414)",
00917.png,"(275, 179)(371, 275)","(152, 189)(232, 269)","(175, 333)(333, 412)",
00918.png,"(155, 209)(219, 273)","(186, 335)(333, 409)",
00919.png,"(287, 192)(364, 269)","(152, 189)(230, 267)","(181, 339)(330, 414)",
00920.png,"(282, 184)(367, 269)","(160, 195)(227, 262)","(176, 349)(332, 427)",
00921.png,"(291, 195)(363, 267)","(144, 181)(232, 269)","(197, 355)(319, 416)",
00922.png,"(280, 179)(376, 275)","(147, 178)(247, 278)","(182, 349)(337, 427)",
00923.png,
00924.png,"(288, 208)(345, 265)","(142, 200)(224, 282)","(179, 356)(332, 432)",
00925.png,"(273, 183)(359, 269)","(186, 207)(228, 249)","(202, 358)(314, 414)",
00926.png,"(293, 194)(362, 263)","(160, 191)(239, 270)","(200, 298)(325, 360)",
00927.png,"(278, 170)(380, 272)","(139, 174)(236, 271)","(171, 348)(325, 425)",
00928.png,"(284, 184)(369, 269)","(154, 189)(228, 263)","(177, 345)(333, 423)",
00929.png,"(288, 206)(341, 259)","(170, 195)(243, 268)","(197, 291)(333, 359)",
00930.png,"(284, 195)(359, 270)","(152, 189)(233, 270)","(180, 339)(333, 416)",
00931.png,"(281, 178)(371, 268)","(151, 184)(234, 267)","(183, 352)(330, 425)",
00932.png,"(286, 198)(344, 256)","(162, 184)(244, 266)","(206, 357)(319, 413)",
00933.png,"(287, 195)(361, 269)","(157, 196)(228, 267)","(203, 345)(313, 400)",
00934.png,"(178, 346)(332, 423)",
00935.png,"(278, 206)(341, 269)","(161, 204)(227, 270)","(189, 354)(328, 423)",
00936.png,"(286, 191)(364, 269)","(153, 187)(236, 270)","(183, 340)(334, 415)",
00937.png,"(283, 191)(366, 274)","(156, 189)(231, 264)","(183, 344)(341, 423)",
00938.png,
00939.png,"(284, 196)(347, 259)","(156, 178)(246, 268)",
00940.png,"(281, 182)(372, 273)","(144, 185)(231, 272)","(187, 338)(332, 411)",
00941.png,"(294, 203)(357, 266)","(154, 203)(221, 270)","(186, 339)(333, 412)",
00942.png,"(297, 204)(354, 261)","(153, 193)(230, 270)","(183, 341)(322, 410)",
00943.png,"(192, 356)(332, 426)",
00944.png,"(266, 160)(379, 273)",
00945.png,"(278, 180)(365, 267)","(168, 355)(316, 429)",
00946.png,"(277, 205)(328, 256)",
00947.png,"(287, 192)(366, 271)","(150, 187)(236, 273)","(178, 321)(343, 403)",
00948.png,"(279, 183)(368, 272)","(159, 202)(212, 255)","(205, 370)(304, 419)",
00949.png,"(284, 186)(368, 270)","(147, 187)(230, 270)","(175, 348)(332, 426)",
00950.png,"(285, 193)(361, 269)","(160, 198)(228, 266)","(187, 340)(328, 410)",
00951.png,"(283, 192)(358, 267)","(149, 186)(233, 270)","(194, 345)(317, 406)",
00952.png,"(289, 193)(359, 263)","(147, 195)(223, 271)","(167, 338)(333, 421)",
00953.png,"(280, 183)(367, 270)","(158, 185)(246, 273)","(201, 347)(329, 411)",
00954.png,"(284, 188)(367, 271)","(159, 193)(230, 264)","(183, 346)(324, 417)",
00955.png,"(278, 182)(368, 272)","(147, 179)(239, 271)","(189, 337)(333, 409)",
00956.png,"(290, 196)(359, 265)","(154, 193)(229, 268)","(189, 335)(331, 406)",
00957.png,"(292, 201)(356, 265)","(153, 193)(228, 268)","(191, 347)(319, 411)",
00958.png,"(194, 323)(312, 382)",
00959.png,"(283, 191)(364, 272)","(148, 187)(235, 274)","(196, 329)(317, 390)",
00960.png,
00961.png,"(270, 218)(319, 267)","(175, 213)(242, 280)","(204, 357)(314, 412)",
00962.png,
00963.png,"(204, 296)(324, 356)",
00964.png,"(285, 185)(369, 269)","(154, 191)(227, 264)","(187, 347)(323, 415)",
00965.png,"(285, 188)(358, 261)","(157, 195)(228, 266)","(185, 364)(322, 432)",
00966.png,"(285, 191)(360, 266)","(160, 198)(223, 261)","(173, 339)(345, 425)",
00967.png,"(280, 191)(354, 265)","(147, 189)(221, 263)","(208, 360)(311, 411)",
00968.png,"(284, 190)(362, 268)","(150, 185)(234, 269)","(192, 357)(337, 430)",
00969.png,"(284, 209)(336, 261)","(174, 187)(250, 263)","(207, 358)(318, 413)",
00970.png,
00971.png,"(304, 196)(359, 251)","(161, 199)(230, 268)","(169, 350)(308, 419)",
00972.png,"(285, 191)(368, 274)","(157, 194)(225, 262)","(170, 340)(345, 427)",
00973.png,"(293, 196)(358, 261)","(157, 200)(223, 266)","(190, 357)(324, 424)",
00974.png,"(293, 209)(344, 260)","(174, 206)(237, 269)","(188, 344)(296, 398)",
00975.png,"(283, 193)(365, 275)","(153, 143)(240, 230)","(205, 364)(316, 419)",
00976.png,"(284, 191)(362, 269)","(192, 352)(317, 414)",
00977.png,"(251, 182)(349, 280)","(160, 198)(240, 278)","(185, 367)(315, 432)",
00978.png,"(282, 190)(363, 271)","(151, 187)(236, 272)","(176, 334)(338, 415)",
00979.png,"(175, 340)(336, 421)",
00980.png,"(285, 186)(371, 272)","(155, 193)(229, 267)","(169, 327)(346, 416)",
00981.png,"(294, 199)(358, 263)","(157, 195)(232, 270)","(178, 330)(339, 410)",
00982.png,"(292, 195)(368, 271)","(153, 195)(225, 267)","(192, 351)(339, 425)",
00983.png,"(279, 185)(364, 270)","(156, 183)(242, 269)","(192, 358)(312, 418)",
00984.png,"(284, 199)(354, 269)","(155, 193)(233, 271)","(182, 323)(326, 395)",
00985.png,"(283, 189)(362, 268)","(144, 184)(233, 273)","(168, 325)(347, 415)",
00986.png,"(285, 189)(362, 266)","(153, 187)(233, 267)","(181, 348)(335, 425)",
00987.png,"(278, 190)(353, 265)","(166, 197)(229, 260)","(198, 358)(313, 415)",
00988.png,"(285, 190)(367, 272)","(159, 204)(222, 267)","(169, 316)(272, 367)",
00989.png,"(273, 166)(382, 275)","(170, 206)(227, 263)","(255, 286)(414, 365)",
00990.png,"(283, 184)(371, 272)","(137, 178)(236, 277)","(171, 329)(341, 414)",
00991.png,"(285, 187)(364, 266)","(150, 188)(228, 266)","(190, 352)(318, 416)",
00992.png,"(297, 204)(361, 268)","(160, 209)(211, 260)","(182, 331)(323, 402)",
00993.png,"(177, 334)(326, 409)",
00994.png,"(302, 215)(346, 259)","(174, 215)(233, 274)","(119, 309)(371, 435)",
00995.png,"(287, 188)(365, 266)","(155, 193)(233, 271)","(186, 347)(320, 414)",
00996.png,"(285, 186)(363, 264)","(163, 199)(229, 265)","(192, 355)(320, 419)",
00997.png,"(292, 197)(358, 263)","(159, 194)(230, 265)","(186, 348)(327, 419)",
00998.png,"(283, 192)(354, 263)","(160, 191)(230, 261)","(132, 311)(227, 359)",
00999.png,"(281, 184)(370, 273)","(152, 187)(235, 270)","(173, 349)(328, 426)",
01000.png,
01001.png,"(274, 181)(367, 274)","(159, 186)(240, 267)","(193, 348)(313, 408)",
01002.png,"(281, 197)(360, 276)","(143, 198)(225, 280)","(199, 354)(314, 411)",
01003.png,"(288, 200)(351, 263)","(167, 193)(240, 266)","(190, 346)(332, 417)",
01004.png,"(290, 190)(366, 266)","(156, 194)(231, 269)","(186, 339)(324, 408)",
01005.png,"(290, 199)(356, 265)","(165, 210)(215, 260)","(183, 339)(312, 403)",
01006.png,"(280, 175)(376, 271)","(153, 185)(231, 263)","(185, 356)(322, 424)",
01007.png,"(288, 195)(357, 264)","(148, 188)(233, 273)","(178, 340)(345, 424)",
01008.png,"(286, 196)(349, 259)","(171, 198)(238, 265)","(180, 345)(328, 419)",
01009.png,"(286, 192)(357, 263)","(166, 205)(230, 269)","(183, 370)(310, 433)",
01010.png,"(262, 200)(327, 265)","(169, 212)(221, 264)","(185, 343)(288, 394)",
01011.png,"(278, 174)(375, 271)","(156, 191)(230, 265)","(189, 352)(329, 422)",
01012.png,"(286, 194)(359, 267)","(157, 196)(229, 268)","(169, 319)(300, 385)",
01013.png,
01014.png,"(285, 197)(357, 269)","(159, 201)(220, 262)","(176, 348)(314, 417)",
01015.png,"(279, 199)(359, 279)","(167, 206)(217, 256)","(210, 354)(334, 416)",
01016.png,"(288, 196)(360, 268)","(150, 191)(227, 268)","(191, 337)(322, 402)",
01017.png,"(289, 194)(361, 266)","(151, 187)(233, 269)","(191, 330)(332, 401)",
01018.png,"(289, 191)(366, 268)","(158, 191)(238, 271)","(187, 342)(325, 411)",
01019.png,"(282, 170)(377, 265)","(171, 201)(234, 264)","(214, 367)(329, 425)",
01020.png,"(280, 196)(352, 268)",
01021.png,"(271, 198)(338, 265)","(167, 197)(240, 270)","(172, 347)(320, 421)",
01022.png,"(287, 194)(362, 269)","(158, 198)(226, 266)","(184, 338)(327, 409)",
01023.png,"(286, 194)(364, 272)","(152, 196)(220, 264)","(179, 326)(336, 404)",
01024.png,"(224, 295)(269, 340)","(187, 357)(328, 428)",
01025.png,"(289, 194)(363, 268)","(153, 192)(230, 269)","(182, 335)(334, 411)",
